date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2016-06-25,ARI @ COL,B4,Weiss,B. Barnes,Out at home,Tag Play,Porter,Kellogg,Overturned,2:46,https://t.co/746I2PiYmA,
2016-06-25,WSH @ MIL,B7,Counsell,Braun,Out at home,Tag Play,G. Gibson,DeMuth,Confirmed,1:53,https://t.co/kYQR0U4NL2,
2016-06-25,NYM @ ATL,B1,Collins,Inciarte,Safe at 2nd,Tag Play,Timmons,Timmons,Stands,1:59,https://t.co/9FiNJYEXxW,
2016-06-25,HOU @ KC,B3,Yost,L. Cain,Out at 1st,Force Play,Danley,West,Overturned,1:27,https://t.co/R9j4SJBxHv,
2016-06-25,"TB @ BAL, G2",T8,Cash,Franklin,Out at 2nd,Tag Play,Hudson,Hudson,Overturned,2:03,https://t.co/KB29wO9USh,
2016-06-26,CLE @ DET,T5,UMPIRE,Chisenhall,HR/No Fan Interference,Potential HR,Gonzalez,Culbreth,Confirmed,1:25,https://t.co/4udxUhRHZs,
2016-06-26,CHI @ MIA,B6,Mattingly,Dietrich,Foul ball; No HBP,HBP,Hirschbeck,Hirschbeck,Overturned,0:44,https://t.co/eX5qMfEVsX,
2016-06-26,CHI @ MIA,B6,Mattingly,Hechavarria,Out at 1st,Force Play,Carapazza,Hirschbeck,Overturned,1:02,https://t.co/892dimILfY,
2016-06-26,CHI @ MIA,B6,Maddon,Dietrich,Out at 2nd/No Violation,Slide Rule,Reyburn,Hirschbeck,Confirmed,1:02,https://t.co/892dimILfY,
2016-06-26,HOU @ KC,T4,Yost,Altuve,Safe at 2nd,Tag Play,West,West,Overturned,2:00,https://t.co/bjf2Va2U3h,
2016-06-26,WSH @ MIL,T6,Baker,Rendon,Out at 2nd,Tag Play,Hickox,DeMuth,Stands,2:15,https://t.co/U4y0XJyaqp,
2016-06-26,BOS @ TEX,B4,Farrell,Andrus,Safe at 1st,Force Play,Cooper,Cederstrom,Overturned,0:56,https://t.co/ARSW5yk0s8,
2016-06-26,ARI @ COL,B1,Hale,Blackmon,Safe at 1st,Force Play,Tumpane,Kellogg,Stands,1:05,https://t.co/LFUk4SRSja,
2016-06-26,STL @ SEA,B3,Matheny,D. Lee,Safe at 3rd,Tag Play,Davis,Davis,Overturned,1:23,https://t.co/Qn3CC2xfQV,
2016-06-26,OAK @ LAA,T6,Melvin,Semien,Out at 1st,Tag Play,May,Carlson,Confirmed,1:16,https://t.co/YVEgCa4Czm,
2016-06-26,LAD @ PIT,T3,UMPIRE,Turner,HR/No Fan Interference,Potential HR,Kulpa,Meals,Confirmed,0:59,https://t.co/ValiPTN7QZ,
2016-06-27,CHI @ CIN,T9,Price,Almora,Safe at 1st,Tag Play,Winters,Winters,Stands,1:55,https://t.co/EBhjMoZZoW,
2016-06-27,CHI @ CIN,T9,Maddon,Baez,Out at 2nd,Tag Play,Foster,Winters,Stands,2:13,https://t.co/JLWsJ4QfGC,
2016-06-27,PHI @ ARI,B6,Mackanin,Bourn,Safe at 2nd,Tag Play,Scott,Scott,Overturned,1:05,https://t.co/Ufq0X3U8tx,
2016-06-27,HOU @ LAA,T6,UMPIRE,Valbuena,Home Run,Potential HR,Davis,Davis,Overturned,1:42,https://t.co/i6ITC6JT5x,
2016-06-27,TEX @ NYY,B9,Banister,S. Castro,Safe at 1st,Force Play,Nauert,Nauert,Stands,1:21,https://t.co/HLAeR4wz0W,
2016-06-28,CHI @ CIN,B2,Price,Suarez,Ball; No HBP,HBP,Winters,Winters,Overturned,1:03,https://t.co/HHQrTC20gL,
2016-06-28,TEX @ NYY,B2,Girardi,Headley,Out at 1st,Force Play,Wegner,Nauert,Overturned,0:58,https://t.co/2CevbGJkvA,
2016-06-28,TEX @ NYY,T3,Banister,Beltre,Out at 1st,Force Play,Wegner,Nauert,Overturned,1:48,https://t.co/tpsX40Rj2z,
2016-06-28,LAD @ MIL,B1,Counsell,Villar,Out at 1st,Tag Play,Basner,Hallion,Overturned,1:16,https://t.co/y4ULxTOQSn,
2016-06-28,CLE @ ATL,B9,Snitker,Inciarte,Out at 1st,Force Play,Wendelstedt,Wendelstedt,Stands,1:34,https://t.co/LoRw946gZ8,
2016-06-28,STL @ KC,B7,Matheny,L. Cain,Safe at 1st,Force Play,Blakney,Everitt,Overturned,1:43,http://atmlb.com/29uUEae,
2016-06-28,HOU @ LAA,B1,Hinch,Trout,Safe at 2nd,Tag Play,Torres,Davis,Stands,2:00,https://t.co/KfguM33u8e,
2016-06-28,HOU @ LAA,B3,Scioscia,C. Perez,Out at 1st,Force Play,Davis,Davis,Overturned,0:46,https://t.co/hVIEN8CN1L,
2016-06-28,LAD @ MIL,B8,Counsell,H. Perez,Out at home,Tag Play,Bellino,Hallion,Confirmed,1:34,https://t.co/PSovdPBbyC,
2016-06-28,PIT @ SEA,B7,Servais,D. Lee,Out at HP; no violation,Collisions at HP,May,Carlson,Confirmed,0:49,https://t.co/p8KS6z1IPO,
2016-06-28,BAL @ SD,B9,Green,Schimpf,Foul ball; No HBP,HBP,Randazzo,Miller,Overturned,0:45,https://t.co/O4xVieOspF,
2016-06-29,TOR @ COL,T2,Weiss,A. Sanchez,Safe at 1st,Force Play,Blaser,Nelson,Overturned,1:08,https://t.co/fGkk7389yo,
2016-06-29,PHI @ ARI,B1,Hale,Goldschmidt,Out at 1st,Tag Play,Davidson,Scott,Overturned,3:51,https://t.co/nsMabqeagw,
2016-06-29,BAL @ SD,B4,Green,Solarte,Out; Fan Interference,Fan Interference,Randazzo,Miller,Confirmed,1:37,https://t.co/SXrxxXTS1T,
2016-06-29,TOR @ COL,T7,Weiss,Donaldson,Safe at 3rd,Tag Play,Diaz,Nelson,Overturned,1:04,https://t.co/YZQUBl9ap4,
2016-06-29,KC @ STL,B7,Yost,G. Garcia,Hit by Pitch,HBP,Blakney,Everitt,Overturned,1:48,https://t.co/8RwaWpHxZr,
2016-06-29,KC @ STL,T9,Yost,Hosmer,Ball; No HBP,HBP,Blakney,Everitt,Stands,1:47,https://t.co/9bDurtbBto,
2016-06-29,KC @ STL,T12,Matheny,A. Escobar,Fair ball; Double,Fair/foul,Everitt,Everitt,Confirmed,1:25,https://t.co/IQjhYnR27f,
2016-06-30,MIN @ CWS,B6,Ventura,Shuck,Out at 2nd,Tag Play,Barber,Meals,Stands,2:04,https://t.co/HTp4ZWIzdA,
2016-06-30,KC @ STL,T6,Yost,S. Perez,Out at 1st,Force Play,Baker,Everitt,Overturned,1:30,https://t.co/rBuvd2Hlgu,
2016-06-30,BAL @ SEA,B5,Servais,N. Cruz,Out at 3rd,Force Play,Foster,Winters,Stands,1:46,https://t.co/7yibhkN3fL,
2016-06-30,BAL @ SEA,B7,UMPIRE,K. Seager,Out at 2nd,Force Play,Winters,Winters,Overturned,0:54,http://atmlb.com/29c0UIl,
