date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video,
2017-05-13,SD @ CWS,B9,UMPIRE,T. Saladino,Safe at home,Tag Play,Vanover,Vanover,Stands,0:37,https://t.co/t8o4JMx4xf,
2017-05-14,SEA @ TOR,T1,Gibbons,J. Segura,Safe at 2nd,Tag Play,T. Barrett,T. Barrett,Overturned,1:08,https://t.co/21BeVSckha,
2017-05-14,SEA @ TOR,T5,Servais,C. Ruiz,Out at 1st,Force Play,Tumpane,T. Barrett,Overturned,1:56,https://t.co/bON3sdPV6Y,
2017-05-14,SD @ CWS,T4,Green,W. Myers,Out at 3rd,Tag Play,Vanover,Vanover,Stands,2:09,https://t.co/DUkLIBpY8V,
2017-05-14,CHI @ STL,T4,Matheny,M. Montero,Safe at 1st,Force Play,Everitt,Everitt,Overturned,1:09,https://t.co/7TYDkuQ9oS,
2017-05-14,BAL @ KC,B4,Yost,L. Cain,Out at 2nd,Force Play,Kellogg,Kellogg,Confirmed,1:26,https://t.co/vS1Bj0K2Bf,
2017-05-14,CHI @ STL,B6,Maddon,R. Grichuk,Safe at 2nd,Tag Play,Baker,Everitt,Stands,2:17,https://t.co/GwBoq9e4nl,
2017-05-14,TB @ BOS,B8,Cash,H. Ramirez,Safe at 1st,Tag Play,Eddings,Nelson,Stands,0:49,https://t.co/Br26nsQs07,
2017-05-14,TB @ BOS,T9,UMPIRE,S. Souza,HR; No Interference,Potential HR,Nelson,Nelson,Confirmed,1:12,https://t.co/msRFDutmtV,
2017-05-14,LAD @ COL,B8,Roberts,I. Desmond,Safe at 1st,Tag Play,Tichenor,Miller,Overturned,1:22,https://t.co/CGV6wlyatz,
2017-05-14,PHI @ WSH (G2),T4,Mackanin,A. Altherr,Ball; No HBP,HBP,Fletcher,West,Overturned,0:43,https://t.co/sO92okndjx,
2017-05-14,PHI @ WSH (G2),T7,UMPIRE,C. Hernandez,Batter Interference,Rules Check,Fletcher,West,Rules Check,1:29,http://atmlb.com/2qkU6OQ,
2017-05-14,PHI @ WSH (G2),T9,Mackanin,C. Hernandez,Out at 1st,Force Play,Porter,West,Confirmed,1:05,https://t.co/U8qMLwFVGZ,
2017-05-15,NYM @ ARI,B8,UMPIRE,P. Goldschmidt,Home Run,Potential HR,Lentz,Wegner,Overturned,2:44,https://t.co/qDJMHKsDJN,
2017-05-16,ATL @ TOR,T8,Snitker,J. Peterson,Out at 1st,Force Play,O'Nora,Emmel,Stands,1:30,http://atmlb.com/2qFZ1I4,
2017-05-16,WSH @ PIT,B6,Baker,J. Harrison,Safe at 2nd,Tag Play,Dreckman,Everitt,Stands,1:51,https://t.co/Nn1sZH4LaJ,
2017-05-16,PHI @ TEX,B5,Banister,D. DeShields,Out at 1st,Tag Play,Hallion,Hallion,Overturned,1:06,https://t.co/Y9mmyC8rQk,
2017-05-16,NYY @ KC,T8,Yost,J. Bonifacio,No catch,Catch/No Catch,Scheurwater,West,Overturned,3:41,https://t.co/JPGdJYevLT,
2017-05-16,BOS @ STL,T8,Matheny,X. Bogaerts,Safe at 2nd,Tag Play,Timmons,Kellogg,Confirmed,1:27,https://t.co/E6OXSU2fNv,
2017-05-16,BAL @ DET,B11,Showalter,Mi. Cabrera,Hit by Pitch,HBP,Culbreth,Culbreth,Confirmed,1:13,https://t.co/9RoeSnHJar,
2017-05-16,LAD @ SF,B4,UMPIRE,B. Belt,No interference,Potential HR,Foster,Winters,Confirmed,2:16,https://t.co/qWUC8jrr2Y,
2017-05-16,BAL @ DET,T12,Ausmus,T. Mancini,No violation,Slide Rule,Bucknor,Culbreth,Confirmed,1:24,https://t.co/wCy1JfIe8m,
2017-05-16,BAL @ DET,B12,UMPIRE,J. Upton,Out at 1st,Force Play,Carlson,Culbreth,Overturned,0:52,https://t.co/LFyL1js6AB,
2017-05-16,OAK @ SEA,B7,Servais,J. Segura,Out at 1st,Force Play,Nauert,DeMuth,Overturned,2:29,https://t.co/QEQgJZpdZF,
2017-05-16,CWS @ LAA,T9,Scioscia,Av. Garcia,Safe at home,Tag Play,T. Gibson,Gorman,Confirmed,0:38,https://t.co/CiqOqjeDKR,
2017-05-17,TB @ CLE,B3,Francona,C. Santana,Ball; No HBP,HBP,May,Cederstrom,Overturned,1:22,https://t.co/1vzgwTy39g,
2017-05-17,PHI @ TEX,T1,Mackanin,C. Hernandez,Out at 2nd,Tag Play,Cuzzi,Hallion,Stands,2:51,https://t.co/GTsbv2feik,
2017-05-17,TOR @ ATL,B5,Snitker,F. Freeman,Foul ball; no HBP,HBP,O'Nora,Emmel,Overturned,0:49,https://t.co/tTDBWw5VQy,
2017-05-17,NYY @ KC,T5,Yost,C. Carter,Safe at home,Tag Play,Scheurwater,West,Overturned,0:58,https://t.co/SEjD7hYG6W,
2017-05-17,CIN @ CHI,T9,Maddon,J. Votto,Safe at 1st,Force Play,Hickox,Meals,Overturned,1:46,https://t.co/UzGBEbCxmU,
2017-05-17,CWS @ LAA,T5,Scioscia,J. Abreu,Safe at 1st,Force Play,Iassogna,Gorman,Overturned,0:49,https://t.co/cOZY0OuT37,
2017-05-18,BAL @ DET,B8,Showalter,T. Collins,Safe at 3rd,Tag Play,Carlson,Culbreth,Overturned,1:07,https://t.co/xR41RWSr5O,
2017-05-18,NYY @ KC,T4,Girardi,J. Ellsbury,Out at 1st,Force Play,Reynolds,West,Overturned,1:55,https://t.co/kMUgczG9Tn,
2017-05-18,COL @ MIN (G2),B8,Black,J. Castro,Safe at 2nd,Force Play,Fairchild,Vanover,Stands,1:27,https://t.co/Zg1xFfdcxo,
