date,game,inning,manager-ump,player-referenced,initial-call,play-type,calling-umpire,crew-chief,result,time-to-ruling,video
2014-07-7,HOU @ TEX,T4,Porter,Altuve,Out at 1st,Force play,Carapazza,Miller,Overturned,0:48,http://t.co/6rp8RRqpF0
2014-07-7,CHI @ CIN,B7,Renteria,Frazier,Safe at 1st,Force play,Winters,Winters,Overturned,0:41,http://t.co/fQ7pJGjYMb
2014-07-7,ATL @ NYM,B9,Collins,A. Simmons,Out at 2nd,Force play,Timmons,Everitt,Overturned,1:59,http://t.co/kNYdSvMoa5
2014-07-7,TOR @ LAA,B5,UMPIRE,Iannetta,Fan Interference (double),Fan Interference,Wolf,Gorman,Confirmed,1:28,http://t.co/2SAJeMepqD
2014-07-7,SF @ OAK,B5,Bochy,Gentry,HBP,HBP,Nauert,Hernandez,Stands,2:01,http://t.co/BdQf8NQwAl
2014-07-7,SF @ OAK,T7,UMPIRE,Pence,Out at 1st,Force play,Hernandez,Hernandez,Confirmed,0:53,http://t.co/yJa4fGBaVf
2014-07-8,LAD @ DET,B2,Ausmus,T. Hunter,Out at 2nd,Tag Play,Little,T. Barrett,Overturned,2:40,http://t.co/AWlTQOI7PG
2014-07-8,PIT @ STL,T5,Hurdle,N. Walker,Out at 3rd,Tag Play,Porter,West,Stands,1:43,http://t.co/zAplNtbB0w
2014-07-8,MIA @ ARI,B2,Redmond,Gosewisch,Safe at 1st,Force play,Tumpane,Davidson,Stands,1:22,http://t.co/NmS2aHvRvV
2014-07-8,HOU @ TEX,T7,Porter,Springer,Out at 2nd,Tag Play,Hamari,Miller,Confirmed,2:04,http://atmlb.com/1k6s0tL
2014-07-8,TOR @ LAA,T3,Scioscia,Reyes,Safe at 1st,Tag Play,Wolf,Gorman,Overturned,3:07,http://t.co/B4G8YEYiAj
2014-07-8,MIN @ SEA,B3,McClendon,J. Jones,Out at 1st,Force play,Morales,Scott,Overturned,1:17,http://atmlb.com/1jqXzDF
